order_id,datetime,region_id,currency_code,product_id,unit_price,quantity,is_online,customer_id,payment_method,subtotal,tax_amount,total,discount_applied,discount_used,_kafka_key,_kafka_partition,_kafka_offset
090d2ac2-dc6a-4631-88ce-2ab4539ecd14,2026-05-05T15:44:00Z,MX-CMX,MXN,PY-INTRO-001,29.99,2,false,CUST-6119,apple_pay,59.98,9.6,69.58,Yes,SPRING25,MX-CMX,0,36
462f1ea2-d5fe-4d92-b4d6-c2f366f55965,2026-05-05T15:47:00Z,CA-ON,CAD,PY-NLP-006,54.99,1,true,CUST-6567,credit_card,54.99,7.15,62.14,Yes,SPRING25,CA-ON,0,37
80d07066-ad53-46d5-8723-82c80a5d8463,2026-05-05T16:06:00Z,US-TX,USD,PY-VIZ-003,39.99,5,true,CUST-9612,credit_card,199.95,16.5,216.45,Yes,SPRING25,US-TX,0,38
d5e9fd35-59b3-4a0f-a4b0-91efe52e2297,2026-05-05T16:07:00Z,US-TX,USD,PY-INTRO-001,29.99,4,true,CUST-3513,paypal,119.96,9.9,129.86,Yes,SPRING25,US-TX,0,39
86a659e0-430c-4efd-8732-7c38671f3808,2026-05-05T16:16:00Z,MX-CMX,MXN,PY-STREAM-005,59.99,1,false,CUST-9897,apple_pay,59.99,9.6,69.59,Yes,SPRING25,MX-CMX,0,40
bf5b3b0d-2f93-4429-9d54-8bd4bd7a7511,2026-05-05T16:43:00Z,CA-ON,CAD,PY-STREAM-005,59.99,4,true,CUST-5336,credit_card,239.96,31.19,271.15,Yes,SPRING25,CA-ON,0,41
d7e53ebc-eb18-492d-88eb-4de9e11aebc4,2026-05-05T17:14:00Z,US-TX,USD,PY-VIZ-003,39.99,1,true,CUST-9316,credit_card,39.99,3.3,43.29,Yes,SPRING25,US-TX,0,42
21e9e7f5-513a-4769-970f-34ff5848c37b,2026-05-05T17:45:00Z,CA-ON,CAD,PY-STREAM-005,59.99,3,true,CUST-3981,credit_card,179.97,23.4,203.37,Yes,SPRING25,CA-ON,0,43
8e85774e-fff2-487e-98b1-ab36851928bf,2026-05-05T17:54:00Z,CA-QC,CAD,PY-INTRO-001,29.99,2,true,CUST-3621,credit_card,59.98,8.98,68.96,Yes,SPRING25,CA-QC,0,44
b1e8ea62-b729-4051-b4af-e1da1e2e793f,2026-05-05T18:01:00Z,CA-ON,CAD,PY-DATA-002,49.99,2,true,CUST-7553,credit_card,99.98,13.0,112.98,Yes,SPRING25,CA-ON,0,45
ecd81d8a-8669-49eb-9fbb-a4c4bb18051f,2026-05-05T18:07:00Z,CA-QC,CAD,PY-SQL-004,44.99,4,true,CUST-3009,credit_card,179.96,26.95,206.91,Yes,SPRING25,CA-QC,0,46
1de49f0d-3b25-4611-b366-5b6018b6560d,2026-05-05T18:21:00Z,CA-QC,CAD,PY-INTRO-001,29.99,1,true,CUST-2698,paypal,29.99,4.49,34.48,Yes,SPRING25,CA-QC,0,47
d83f99cf-3199-4900-a843-f13314414072,2026-05-05T18:34:00Z,US-MO,USD,PY-NLP-006,54.99,1,true,CUST-6759,apple_pay,54.99,4.4,59.39,Yes,SPRING25,US-MO,0,48
bc80a726-678e-4c93-b470-b58051156d40,2026-05-05T18:53:00Z,US-CA,USD,PY-VIZ-003,39.99,1,true,CUST-4048,apple_pay,39.99,3.8,43.79,Yes,SPRING25,US-CA,0,49
a8f7dc4e-1095-415a-bf0b-ec7ffc4cfb46,2026-05-05T19:10:00Z,MX-CMX,MXN,PY-VIZ-003,39.99,1,true,CUST-8055,credit_card,39.99,6.4,46.39,Yes,SPRING25,MX-CMX,0,50
d60511ff-6270-4eb1-b7ac-7cc5e21d6047,2026-05-05T19:17:00Z,CA-ON,CAD,PY-SQL-004,44.99,1,true,CUST-3209,gift_card,44.99,5.85,50.84,Yes,SPRING25,CA-ON,0,51
afa02f57-4c6a-4438-80c8-5e1978f8b578,2026-05-05T19:48:00Z,US-MO,USD,PY-DATA-002,49.99,1,true,CUST-9094,credit_card,49.99,4.0,53.99,Yes,SPRING25,US-MO,0,52
d399ce33-2a68-4c3c-a76f-69100e99ca24,2026-05-05T19:49:00Z,US-MO,USD,PY-DATA-002,49.99,1,true,CUST-3526,credit_card,49.99,4.0,53.99,Yes,SPRING25,US-MO,0,53
